Year,BC,CH4,CO,N2O,NH3,NMVOC,NOx,OC,SO2
1831,1.585,11.390,282.680,0.772,3.416,53.987,12.591,13.374,1.986
1832,1.578,11.266,280.751,0.767,3.366,53.577,12.617,13.232,1.974
1833,1.572,11.315,280.382,0.764,3.399,53.577,12.444,13.292,1.971
1834,1.619,11.747,290.256,0.794,3.571,55.542,12.714,13.842,2.045
1835,1.604,11.515,285.872,0.780,3.456,54.600,12.739,13.518,2.009
1836,1.593,11.548,284.761,0.775,3.492,54.485,12.487,13.565,2.001
1837,1.619,11.611,288.149,0.784,3.480,55.031,12.852,13.617,2.023
1838,1.650,11.785,293.851,0.804,3.536,56.084,13.179,13.868,2.069
1839,1.619,11.680,288.640,0.784,3.514,55.176,12.754,13.695,2.025
1840,1.605,11.705,287.385,0.780,3.555,55.042,12.475,13.754,2.019
1841,1.640,11.788,292.310,0.796,3.549,55.858,12.975,13.854,2.056
1842,1.598,11.635,286.022,0.777,3.525,54.756,12.459,13.670,2.009
1843,1.551,11.274,277.886,0.757,3.413,53.186,12.157,13.256,1.955
1844,1.577,11.291,280.542,0.764,3.378,53.570,12.567,13.204,1.968
1845,1.587,11.484,283.868,0.774,3.463,54.278,12.489,13.545,2.000
1846,1.577,11.377,281.262,0.765,3.421,53.769,12.457,13.302,1.972
1847,1.611,11.600,287.227,0.782,3.484,54.884,12.739,13.613,2.017
1848,1.669,12.038,297.783,0.811,3.627,56.911,13.151,14.156,2.092
1849,1.632,11.764,291.504,0.795,3.553,55.728,12.882,13.860,2.054
1850,1.637,11.837,292.943,0.800,3.577,56.003,12.899,13.965,2.063
1851,1.587,11.410,283.317,0.774,3.425,54.111,12.607,13.429,1.993
1852,1.562,11.193,278.451,0.761,3.350,53.166,12.454,13.166,1.960
1853,1.567,11.271,279.739,0.764,3.383,53.442,12.439,13.266,1.969
1854,1.623,11.760,291.019,0.797,3.570,55.669,12.778,13.876,2.053
1855,1.599,11.472,285.076,0.778,3.442,54.441,12.719,13.481,2.005
1856,1.572,11.427,281.383,0.765,3.461,53.865,12.297,13.425,1.979
1857,1.628,11.656,289.915,0.791,3.493,55.348,12.966,13.695,2.038
1858,1.649,11.748,293.609,0.805,3.520,56.011,13.220,13.843,2.069
1859,1.624,11.721,289.766,0.788,3.532,55.399,12.792,13.763,2.036
1860,1.614,11.739,288.878,0.786,3.563,55.307,12.586,13.810,2.032
1861,1.621,11.626,288.613,0.786,3.494,55.139,12.848,13.661,2.030
1862,1.593,11.578,284.947,0.774,3.506,54.541,12.440,13.606,2.003
1863,1.547,11.214,277.034,0.756,3.391,53.001,12.170,13.199,1.951
1864,1.573,11.246,279.745,0.763,3.366,53.416,12.537,13.184,1.966
1865,1.608,11.596,287.277,0.784,3.494,54.904,12.692,13.683,2.024
1866,1.588,11.419,282.941,0.770,3.432,54.069,12.580,13.361,1.985
1867,1.624,11.670,289.282,0.788,3.507,55.268,12.850,13.702,2.032
1868,1.683,12.100,299.940,0.818,3.646,57.308,13.294,14.231,2.108
1869,1.622,11.675,289.483,0.790,3.525,55.340,12.819,13.740,2.039
1870,1.650,11.894,294.991,0.807,3.592,56.372,13.043,14.039,2.079
1871,1.605,11.486,285.995,0.782,3.442,54.592,12.803,13.514,2.013
1872,1.558,11.140,277.500,0.758,3.332,52.973,12.447,13.102,1.954
1873,1.610,11.563,287.198,0.784,3.479,54.864,12.775,13.610,2.022
1874,1.644,11.846,294.102,0.806,3.587,56.214,13.009,13.980,2.075
1875,1.597,11.420,284.132,0.775,3.419,54.241,12.733,13.394,1.996
1876,1.607,11.617,286.884,0.780,3.514,54.887,12.612,13.651,2.018
1877,1.631,11.648,290.002,0.791,3.490,55.357,12.999,13.680,2.039
1878,1.651,11.730,293.544,0.805,3.510,55.983,13.267,13.802,2.067
1879,1.654,11.936,294.991,0.802,3.610,56.418,12.995,14.016,2.073
1880,1.619,11.740,289.531,0.788,3.562,55.414,12.661,13.828,2.039
1881,1.640,11.726,291.732,0.796,3.523,55.712,13.043,13.776,2.052
1882,1.599,11.567,285.466,0.776,3.494,54.606,12.553,13.574,2.005
1883,1.548,11.145,276.257,0.753,3.355,52.805,12.255,13.087,1.943
1884,1.602,11.436,284.820,0.777,3.428,54.375,12.787,13.401,2.001
1885,1.600,11.505,285.509,0.779,3.462,54.548,12.673,13.555,2.011
1886,1.601,11.452,284.638,0.776,3.436,54.357,12.739,13.398,1.997
1887,1.623,11.617,288.765,0.787,3.486,55.139,12.905,13.628,2.028
1888,1.662,11.948,296.327,0.808,3.606,56.624,13.136,14.055,2.084
1889,1.637,11.710,291.663,0.798,3.528,55.704,13.029,13.786,2.055
1890,1.649,11.829,294.250,0.805,3.567,56.197,13.094,13.952,2.074
1891,1.593,11.356,283.390,0.775,3.396,54.065,12.757,13.347,1.993
1892,1.571,11.168,279.071,0.763,3.336,53.237,12.606,13.117,1.964
1893,1.586,11.335,282.321,0.772,3.401,53.898,12.646,13.325,1.987
1894,1.650,11.827,294.705,0.809,3.576,56.288,13.127,13.965,2.080
1895,1.630,11.598,289.648,0.792,3.474,55.258,13.058,13.614,2.036
1896,1.569,11.315,279.913,0.762,3.418,53.534,12.362,13.278,1.968
1897,1.636,11.605,290.342,0.794,3.468,55.363,13.146,13.622,2.041
1898,1.631,11.497,289.042,0.793,3.423,55.060,13.215,13.499,2.033
1899,1.636,11.765,291.442,0.793,3.555,55.713,12.909,13.796,2.047
1900,1.609,11.596,287.086,0.782,3.507,54.892,12.676,13.631,2.019
1901,1.602,11.377,283.934,0.774,3.397,54.164,12.826,13.323,1.993
1902,1.574,11.252,279.661,0.761,3.372,53.398,12.531,13.154,1.961
1903,1.522,10.884,270.764,0.739,3.258,51.694,12.145,12.739,1.900
1904,1.591,11.378,283.384,0.775,3.424,54.112,12.677,13.371,1.994
1905,1.603,11.401,284.486,0.776,3.403,54.253,12.838,13.368,1.996
1906,1.582,11.253,280.644,0.766,3.364,53.540,12.668,13.150,1.967
1907,1.623,11.567,288.268,0.787,3.468,55.002,12.960,13.550,2.022
1908,1.653,11.749,293.426,0.802,3.524,55.973,13.230,13.782,2.061
